year,instance,abn_count
1994,1994_146,1
1994,1994_15,2
1994,1994_164,2
1994,1994_167,1
1994,1994_213,1
1994,1994_52,1
1994,1994_54,254
1994,1994_6,3
1994,1994_78,1
1994,1994_87,2
1994,1994_96,2
1995,1995_112,1
1995,1995_122,1
1995,1995_204,2
1995,1995_35,1
1995,1995_429,1
1995,1995_76,1
1995,1995_81,1
1995,1995_82,1
1995,1995_84,1
1996,1996_10,1
1996,1996_105,1
1996,1996_139,1
1996,1996_274,1
1996,1996_291,1
1996,1996_401,1
1996,1996_402,1
1996,1996_406,2
1996,1996_412,2
1996,1996_443,34
1996,1996_5,2
1996,1996_59,1
1996,1996_87,1
1996,1996_96,2
1997,1997_66,1
1997,1997_8,13
1998,1998_107,2
1998,1998_232,1
1998,1998_257,2
1998,1998_258,1
1998,1998_328,2
1998,1998_362,1
1998,1998_41,1
1998,1998_542,2
1998,1998_571,2
1999,1999_123,1
1999,1999_154,1
1999,1999_185,1
1999,1999_321,1
1999,1999_44,1
1999,1999_7,1
2000,2000_205,136
2000,2000_22,39
2000,2000_30,1
2001,2001_26,64
2001,2001_52,1
2001,2001_66,1
2001,2001_87,1
2002,2002_157,1
2002,2002_163,2
2002,2002_166,2
2002,2002_187,1
2002,2002_191,1
2002,2002_231,2
2002,2002_59,1
2003,2003_138,1
2003,2003_139,1
2003,2003_145,2
2003,2003_146,1
2003,2003_147,1
2003,2003_206,1
2003,2003_269,1
2003,2003_27,126
2003,2003_312,42
2003,2003_383,331
2003,2003_409,2
2003,2003_84,1
2004,2004_114,1
2004,2004_142,3
2004,2004_143,1
2004,2004_175,1
2004,2004_176,1
2004,2004_195,1
2004,2004_197,1
2004,2004_200,1
2004,2004_208,1
2004,2004_220,1
2004,2004_269,1
2004,2004_358,1
2004,2004_386,2
2004,2004_420,1
2004,2004_469,1
2004,2004_576,1
2004,2004_60,1
2004,2004_617,1
2004,2004_624,1
2004,2004_97,1
2005,2005_112,1
2005,2005_122,1
2005,2005_126,1
2005,2005_135,2
2005,2005_14,16
2005,2005_16,174
2005,2005_170,1
2005,2005_19,86
2005,2005_20,1
2005,2005_233,1
2005,2005_247,1
2005,2005_259,1
2005,2005_28,156
2005,2005_31,41
2005,2005_361,2
2005,2005_431,3
2005,2005_49,33
2005,2005_59,1
2005,2005_79,1
2006,2006_132,1
2006,2006_386,2
2006,2006_392,1
2006,2006_479,1
2006,2006_604,3
2007,2007_139,1
2007,2007_197,1
2007,2007_207,1
2007,2007_217,1
2007,2007_220,1
2007,2007_223,2
2007,2007_249,2
2007,2007_256,84
2007,2007_274,1
2007,2007_299,1
2007,2007_359,1
2007,2007_382,1
2007,2007_472,1
2007,2007_53,1
2007,2007_64,2
2007,2007_84,1
2007,2007_87,1
2007,2007_92,1
2007,2007_97,1
2008,2008_204,1
2008,2008_210,1
2008,2008_223,1
2008,2008_225,1
2008,2008_278,1
2008,2008_279,1
2008,2008_318,474
2009,2009_119,1
2009,2009_220,3
2009,2009_250,1
2009,2009_278,1
2009,2009_307,2
2009,2009_345,9
2009,2009_355,1
2009,2009_391,1
2009,2009_400,2
2009,2009_414,1
2009,2009_423,1
2009,2009_428,1
2009,2009_453,1
2009,2009_458,1
2009,2009_473,1
2009,2009_478,1
2009,2009_511,1
2009,2009_517,1
2009,2009_520,1
2009,2009_523,1
2010,2010_152,1
2010,2010_204,2
2010,2010_233,1
2010,2010_24,2
2010,2010_322,2
2010,2010_323,3
2010,2010_40,2
2010,2010_418,1
2010,2010_432,1
2010,2010_459,3
2010,2010_473,1
2010,2010_553,1
2010,2010_558,1
2010,2010_570,2
2010,2010_573,1
2011,2011_101,1
2011,2011_222,1
2011,2011_304,1
2011,2011_306,1
2011,2011_332,2
2011,2011_490,178
2011,2011_88,1
2011,2011_94,2
2012,2012_116,1
2012,2012_132,108
2012,2012_216,2
2012,2012_244,292
2012,2012_287,2
2012,2012_299,1
2012,2012_315,1
2012,2012_316,1
2012,2012_327,11
2012,2012_335,1
2012,2012_428,1
2012,2012_784,154
2012,2012_798,1
2012,2012_863,4
2013,2013_161,1
2013,2013_208,1
2013,2013_270,1
2013,2013_281,1
2013,2013_286,1
2013,2013_298,1
2013,2013_485,1
2013,2013_494,1
2013,2013_536,1
2013,2013_815,1
2013,2013_839,1
2013,2013_840,1
2013,2013_842,46
2013,2013_86,1
2014,2014_10,65
2014,2014_11,49
2014,2014_113,25
2014,2014_114,55
2014,2014_12,30
2014,2014_147,94
2014,2014_19,42
2014,2014_21,46
2014,2014_222,1
2014,2014_23,81
2014,2014_232,413
2014,2014_277,1
2014,2014_29,5
2014,2014_305,251
2014,2014_31,17
2014,2014_314,293
2014,2014_317,33
2014,2014_32,41
2014,2014_33,1
2014,2014_34,23
2014,2014_37,30
2014,2014_377,2
2014,2014_397,1
2014,2014_400,2
2014,2014_404,2
2014,2014_432,70
2014,2014_433,65
2014,2014_456,248
2014,2014_50,33
2014,2014_595,1
2014,2014_61,394
2014,2014_610,1
2014,2014_630,538
2014,2014_651,534
2014,2014_758,1
2014,2014_762,47
2014,2014_767,1
2014,2014_93,270
2014,2014_99,79
2015,2015_1006,1
2015,2015_1025,71
2015,2015_103,57
2015,2015_1063,59
2015,2015_108,607
2015,2015_109,181
2015,2015_1091,1
2015,2015_1094,1
2015,2015_110,69
2015,2015_1106,188
2015,2015_111,1
2015,2015_113,861
2015,2015_116,1
2015,2015_1179,25
2015,2015_1211,188
2015,2015_1228,3
2015,2015_123,1
2015,2015_126,1
2015,2015_1321,85
2015,2015_1322,686
2015,2015_1329,1
2015,2015_1334,1
2015,2015_1352,1
2015,2015_1359,32
2015,2015_1362,48
2015,2015_1363,599
2015,2015_1368,74
2015,2015_1369,2
2015,2015_137,721
2015,2015_1371,44
2015,2015_1374,257
2015,2015_1377,140
2015,2015_1378,130
2015,2015_1380,23
2015,2015_1385,62
2015,2015_1386,113
2015,2015_1387,7
2015,2015_139,139
2015,2015_1390,241
2015,2015_141,332
2015,2015_142,21
2015,2015_144,288
2015,2015_145,38
2015,2015_149,30
2015,2015_151,28
2015,2015_152,1
2015,2015_153,375
2015,2015_154,14
2015,2015_155,179
2015,2015_160,116
2015,2015_163,407
2015,2015_171,164
2015,2015_173,119
2015,2015_174,420
2015,2015_177,2
2015,2015_178,101
2015,2015_179,1
2015,2015_186,838
2015,2015_187,46
2015,2015_196,1
2015,2015_207,344
2015,2015_209,1
2015,2015_211,1
2015,2015_224,126
2015,2015_225,61
2015,2015_229,791
2015,2015_232,73
2015,2015_240,293
2015,2015_246,793
2015,2015_248,861
2015,2015_256,1
2015,2015_257,571
2015,2015_260,576
2015,2015_261,102
2015,2015_269,18
2015,2015_272,848
2015,2015_275,461
2015,2015_278,44
2015,2015_281,386
2015,2015_289,346
2015,2015_291,17
2015,2015_299,1
2015,2015_300,139
2015,2015_309,700
2015,2015_311,559
2015,2015_315,121
2015,2015_316,46
2015,2015_337,1
2015,2015_353,1
2015,2015_354,74
2015,2015_374,30
2015,2015_38,1
2015,2015_389,122
2015,2015_391,10
2015,2015_401,45
2015,2015_405,12
2015,2015_419,1
2015,2015_449,1
2015,2015_507,8
2015,2015_540,1
2015,2015_577,1
2015,2015_599,171
2015,2015_78,320
2015,2015_872,1
2015,2015_90,103
2015,2015_920,2
2015,2015_940,12
2015,2015_945,1
2015,2015_95,43
2015,2015_97,18
2015,2015_98,64
2016,2016_138,1
2016,2016_145,1
2016,2016_219,154
2016,2016_230,10
2016,2016_25,9
2016,2016_284,13
2016,2016_295,11
2016,2016_35,12
2016,2016_37,59
2016,2016_38,21
2016,2016_40,37
2016,2016_437,2
2016,2016_443,1
2016,2016_47,724
2016,2016_487,3
2016,2016_59,398
2016,2016_62,326
2016,2016_620,1
2016,2016_622,146
2016,2016_66,881
2016,2016_67,1
2016,2016_75,1206
2016,2016_84,238
2017,2017_1001,3
2017,2017_1044,1
2017,2017_1068,1
2017,2017_108,2
2017,2017_1082,35
2017,2017_11,1
2017,2017_113,1
2017,2017_166,2
2017,2017_171,1
2017,2017_230,1
2017,2017_244,1
2017,2017_272,1
2017,2017_308,1
2017,2017_363,1
2017,2017_365,2
2017,2017_387,451
2017,2017_388,1
2017,2017_412,394
2017,2017_421,126
2017,2017_54,3
2017,2017_552,13
2017,2017_575,66
2017,2017_728,102
2017,2017_769,319
2017,2017_80,1
2017,2017_889,663
2017,2017_93,1
2017,2017_935,1
2018,2018_1008,1
2018,2018_1019,116
2018,2018_1028,3
2018,2018_1035,1
2018,2018_1040,1
2018,2018_1042,1
2018,2018_1044,2
2018,2018_1052,306
2018,2018_1053,2
2018,2018_1075,3
2018,2018_1086,1
2018,2018_1096,547
2018,2018_125,1
2018,2018_185,1
2018,2018_233,34
2018,2018_288,1
2018,2018_294,341
2018,2018_312,1
2018,2018_341,1
2018,2018_452,1
2018,2018_504,1
2018,2018_511,1
2018,2018_521,1
2018,2018_523,2
2018,2018_623,2
2018,2018_672,107
2018,2018_732,1
2018,2018_748,1
2018,2018_784,1
2018,2018_828,3
2018,2018_848,2
2018,2018_854,1
2018,2018_877,21
2018,2018_900,2
2018,2018_961,1
2018,2018_963,24
2018,2018_974,2
2018,2018_976,31
2018,2018_988,99
2018,2018_999,74
2019,2019_112,179
2019,2019_144,1
2019,2019_145,3
2019,2019_170,692
2019,2019_187,1
2019,2019_209,2
2019,2019_245,1
2019,2019_26,2
2019,2019_27,2
2019,2019_294,1
2019,2019_301,1
2019,2019_312,1
2019,2019_325,2
2019,2019_44,1
2019,2019_73,1
2020,2020_105,308
2020,2020_108,1
2020,2020_112,300
2020,2020_115,17
2020,2020_124,37
2020,2020_154,1
2020,2020_170,1
2020,2020_181,120
2020,2020_210,188
2020,2020_215,1
2020,2020_224,6
2020,2020_238,3
2020,2020_247,305
2020,2020_257,1
2020,2020_322,1
2020,2020_330,1
2020,2020_332,154
2020,2020_361,176
2020,2020_375,14
2020,2020_377,1
2020,2020_48,166
2020,2020_8,1
2020,2020_81,2
2020,2020_9,1
2020,2020_95,68
2020,2020_96,2
2020,2020_99,1
2021,2021_111,52
2021,2021_150,957
2021,2021_159,1
2021,2021_166,2
2021,2021_19,1
2021,2021_201,231
2021,2021_203,209
2021,2021_247,1
2021,2021_251,2
2021,2021_266,1
2021,2021_28,1
2021,2021_299,1
2021,2021_310,1
2021,2021_32,1
2021,2021_324,1
2021,2021_33,79
2021,2021_359,1
2021,2021_421,2
2021,2021_482,2
2021,2021_50,1
2021,2021_53,1
2021,2021_66,184
2021,2021_676,1
2021,2021_717,1
2021,2021_721,1
2021,2021_726,1
2021,2021_759,1
2021,2021_763,1
2021,2021_810,31
2021,2021_857,2
2021,2021_947,1
2021,2021_950,1
2021,2021_958,547
