Year,yearly_total,NT,MB,YT,SK,QC,ON,BC,AB,NL,PC,NU,NB,NS
1994,296,68,60,45,37,31,30,12,4,1,8,0,0,0
1995,453,34,80,19,56,124,114,12,7,1,6,0,0,0
1996,458,51,43,12,9,193,129,7,0,11,3,0,0,0
1997,154,11,18,3,8,93,18,2,0,1,0,0,0,0
1998,632,97,41,32,206,64,129,28,24,2,9,0,0,0
1999,326,30,59,30,50,40,80,16,12,2,7,0,0,0
2000,212,53,28,3,28,33,28,15,5,13,5,1,0,0
2001,155,12,11,3,40,25,46,8,3,0,7,0,0,0
2002,347,14,19,6,86,108,87,3,22,0,2,0,0,0
2003,457,37,84,18,37,76,79,85,10,10,20,1,0,0
2004,664,117,25,137,83,5,5,77,197,0,17,1,0,0
2005,536,122,28,15,59,118,35,18,102,7,18,0,14,0
2006,654,75,40,25,78,29,106,87,191,1,21,1,0,0
2007,494,72,42,32,27,121,30,40,116,4,10,0,0,0
2008,472,121,33,20,65,15,5,29,169,1,12,2,0,0
2009,549,11,2,45,32,67,29,135,205,4,19,0,0,0
2010,735,90,48,33,108,57,32,93,258,0,13,3,0,0
2011,738,66,282,19,28,25,90,9,205,1,13,0,0,0
2012,963,121,455,37,48,45,77,53,81,20,26,0,0,0
2013,847,94,442,96,40,56,40,35,17,11,16,0,0,0
2014,771,202,230,3,63,62,21,87,16,9,16,1,60,1
2015,1401,135,412,48,147,87,47,150,167,2,37,1,98,70
2016,624,98,181,4,48,154,19,20,56,4,5,0,0,35
2017,1091,164,502,43,62,55,82,130,32,0,19,0,1,1
2018,1121,19,391,19,70,185,52,324,47,0,13,0,1,0
2019,335,45,46,36,39,74,20,19,44,0,11,1,0,0
2020,409,15,143,4,12,178,36,10,4,2,3,0,0,2
2021,974,92,148,39,220,134,93,199,39,0,9,1,0,0
Total,16868,2066,3893,826,1786,2254,1559,1703,2033,107,345,13,174,109
