year,instance,filename
1994,1994_30,1994_30 1994-06-06 fwi.npy
1994,1994_61,1994_61 1994-06-19 fwi.npy
1994,1994_61,1994_61 1994-07-06 fwi.npy
1995,1995_2,1995_2 1995-05-05 fwi.npy
1995,1995_226,1995_226 1995-06-21 fwi.npy
1995,1995_3,1995_3 1995-05-05 fwi.npy
1995,1995_5,1995_5 1995-05-06 fwi.npy
1995,1995_6,1995_6 1995-05-08 fwi.npy
1995,1995_6,1995_6 1995-05-09 fwi.npy
1997,1997_2,1997_2 1997-05-10 fwi.npy
1997,1997_2,1997_2 1997-05-11 fwi.npy
1998,1998_136,1998_136 1998-05-31 fwi.npy
1998,1998_136,1998_136 1998-06-01 fwi.npy
1998,1998_136,1998_136 1998-06-02 fwi.npy
1998,1998_136,1998_136 1998-06-03 fwi.npy
1998,1998_155,1998_155 1998-06-12 fwi.npy
1998,1998_32,1998_32 1998-05-01 fwi.npy
1998,1998_56,1998_56 1998-05-27 fwi.npy
1998,1998_56,1998_56 1998-05-28 fwi.npy
1998,1998_56,1998_56 1998-05-29 fwi.npy
1998,1998_65,1998_65 1998-05-23 fwi.npy
1998,1998_65,1998_65 1998-05-24 fwi.npy
1998,1998_65,1998_65 1998-05-25 fwi.npy
1998,1998_69,1998_69 1998-05-21 fwi.npy
1998,1998_69,1998_69 1998-05-22 fwi.npy
1998,1998_69,1998_69 1998-05-23 fwi.npy
1998,1998_69,1998_69 1998-05-24 fwi.npy
1998,1998_92,1998_92 1998-06-08 fwi.npy
1999,1999_10,1999_10 1999-04-30 fwi.npy
1999,1999_143,1999_143 1999-06-19 fwi.npy
1999,1999_31,1999_31 1999-05-27 fwi.npy
1999,1999_31,1999_31 1999-05-28 fwi.npy
1999,1999_39,1999_39 1999-05-16 fwi.npy
2000,2000_18,2000_18 2000-06-09 fwi.npy
2000,2000_207,2000_207 2000-10-09 fwi.npy
2000,2000_209,2000_209 2000-10-12 fwi.npy
2000,2000_21,2000_21 2000-06-09 fwi.npy
2000,2000_67,2000_67 2000-07-11 fwi.npy
2000,2000_67,2000_67 2000-07-15 fwi.npy
2000,2000_67,2000_67 2000-07-16 fwi.npy
2001,2001_1,2001_1 2001-10-16 fwi.npy
2001,2001_66,2001_66 2001-06-13 fwi.npy
2001,2001_75,2001_75 2001-06-22 fwi.npy
2002,2002_37,2002_37 2002-06-05 fwi.npy
2002,2002_62,2002_62 2002-06-22 fwi.npy
2002,2002_62,2002_62 2002-06-23 fwi.npy
2003,2003_0,2003_0 2003-05-29 fwi.npy
2003,2003_16,2003_16 2003-05-03 fwi.npy
2003,2003_2,2003_2 2003-04-09 fwi.npy
2003,2003_2,2003_2 2003-04-10 fwi.npy
2003,2003_50,2003_50 2003-06-07 fwi.npy
2003,2003_50,2003_50 2003-06-08 fwi.npy
2003,2003_50,2003_50 2003-06-10 fwi.npy
2003,2003_50,2003_50 2003-06-11 fwi.npy
2003,2003_50,2003_50 2003-06-12 fwi.npy
2003,2003_52,2003_52 2003-06-10 fwi.npy
2003,2003_52,2003_52 2003-06-11 fwi.npy
2003,2003_56,2003_56 2003-06-04 fwi.npy
2003,2003_56,2003_56 2003-06-07 fwi.npy
2003,2003_56,2003_56 2003-06-08 fwi.npy
2003,2003_56,2003_56 2003-06-10 fwi.npy
2003,2003_56,2003_56 2003-06-11 fwi.npy
2003,2003_59,2003_59 2003-06-05 fwi.npy
2003,2003_59,2003_59 2003-06-07 fwi.npy
2003,2003_62,2003_62 2003-06-07 fwi.npy
2004,2004_0,2004_0 2004-03-26 fwi.npy
2004,2004_0,2004_0 2004-04-08 fwi.npy
2004,2004_15,2004_15 2004-04-17 fwi.npy
2004,2004_21,2004_21 2004-04-24 fwi.npy
2004,2004_29,2004_29 2004-04-26 fwi.npy
2005,2005_10,2005_10 2005-05-26 fwi.npy
2005,2005_10,2005_10 2005-05-27 fwi.npy
2005,2005_10,2005_10 2005-05-29 fwi.npy
2005,2005_46,2005_46 2005-05-11 fwi.npy
2005,2005_46,2005_46 2005-05-29 fwi.npy
2006,2006_14,2006_14 2006-06-03 fwi.npy
2006,2006_37,2006_37 2006-04-19 fwi.npy
2006,2006_49,2006_49 2006-05-15 fwi.npy
2007,2007_129,2007_129 2007-06-04 fwi.npy
2007,2007_26,2007_26 2007-04-26 fwi.npy
2008,2008_48,2008_48 2008-05-13 fwi.npy
2008,2008_48,2008_48 2008-05-17 fwi.npy
2008,2008_48,2008_48 2008-05-18 fwi.npy
2008,2008_48,2008_48 2008-05-19 fwi.npy
2008,2008_48,2008_48 2008-05-26 fwi.npy
2008,2008_82,2008_82 2008-05-28 fwi.npy
2008,2008_82,2008_82 2008-05-30 fwi.npy
2009,2009_106,2009_106 2009-05-31 fwi.npy
2009,2009_106,2009_106 2009-06-03 fwi.npy
2009,2009_3,2009_3 2009-03-19 fwi.npy
2009,2009_3,2009_3 2009-05-31 fwi.npy
2009,2009_3,2009_3 2009-06-02 fwi.npy
2009,2009_3,2009_3 2009-06-03 fwi.npy
2009,2009_3,2009_3 2009-06-04 fwi.npy
2009,2009_33,2009_33 2009-05-02 fwi.npy
2009,2009_4,2009_4 2009-06-04 fwi.npy
2009,2009_4,2009_4 2009-07-02 fwi.npy
2009,2009_47,2009_47 2009-05-03 fwi.npy
2009,2009_53,2009_53 2009-05-03 fwi.npy
2009,2009_6,2009_6 2009-03-25 fwi.npy
2009,2009_74,2009_74 2009-05-17 fwi.npy
2009,2009_74,2009_74 2009-05-18 fwi.npy
2009,2009_74,2009_74 2009-05-22 fwi.npy
2009,2009_96,2009_96 2009-05-30 fwi.npy
2009,2009_96,2009_96 2009-05-31 fwi.npy
2009,2009_96,2009_96 2009-06-01 fwi.npy
2009,2009_96,2009_96 2009-06-02 fwi.npy
2009,2009_96,2009_96 2009-06-03 fwi.npy
2009,2009_96,2009_96 2009-06-04 fwi.npy
2009,2009_97,2009_97 2009-05-31 fwi.npy
2010,2010_109,2010_109 2010-05-13 fwi.npy
2010,2010_221,2010_221 2010-06-05 fwi.npy
2010,2010_221,2010_221 2010-06-08 fwi.npy
2010,2010_266,2010_266 2010-06-13 fwi.npy
2010,2010_266,2010_266 2010-06-14 fwi.npy
2010,2010_266,2010_266 2010-06-15 fwi.npy
2011,2011_3,2011_3 2011-04-19 fwi.npy
2011,2011_733,2011_733 2011-10-28 fwi.npy
2012,2012_138,2012_138 2012-10-17 fwi.npy
2012,2012_139,2012_139 2012-10-17 fwi.npy
2012,2012_19,2012_19 2012-04-12 fwi.npy
2012,2012_20,2012_20 2012-04-05 fwi.npy
2012,2012_247,2012_247 2012-06-22 fwi.npy
2012,2012_247,2012_247 2012-06-23 fwi.npy
2012,2012_305,2012_305 2012-06-23 fwi.npy
2012,2012_33,2012_33 2012-04-19 fwi.npy
2012,2012_40,2012_40 2012-04-23 fwi.npy
2013,2013_113,2013_113 2013-06-07 fwi.npy
2013,2013_116,2013_116 2013-06-07 fwi.npy
2014,2014_1,2014_1 2014-10-10 fwi.npy
2014,2014_153,2014_153 2014-06-20 fwi.npy
2014,2014_153,2014_153 2014-06-24 fwi.npy
2014,2014_17,2014_17 2014-04-28 fwi.npy
2014,2014_40,2014_40 2014-05-14 fwi.npy
2015,2015_101,2015_101 2015-05-07 fwi.npy
2015,2015_12,2015_12 2015-04-16 fwi.npy
2015,2015_12,2015_12 2015-04-18 fwi.npy
2015,2015_191,2015_191 2015-05-08 fwi.npy
2015,2015_198,2015_198 2015-05-08 fwi.npy
